"","district","district_name","overall_dropout","overall_enrollments","overall_rate","f_dropout","f_enrollments","f_rate","m_dropout","m_enrollments","m_rate","year"
"1344",1638,"Decorah Community School District",5,824,0.61,1,415,0.24,4,409,0.98,2020
"1345",1701,"Denison Comm School District",21,1122,1.87,10,560,1.79,11,562,1.96,2020
"1346",1719,"Denver Comm School District",1,386,0.26,1,182,0.55,0,204,0,2020
"1347",1737,"Des Moines Independent Comm School District",733,14344,5.11,289,7027,4.11,444,7317,6.07,2020
"1348",1782,"Diagonal Comm School District",0,55,0,0,31,0,0,24,0,2020
"1349",1791,"Dike-New Hartford Comm School District",2,406,0.49,1,203,0.49,1,203,0.49,2020
"1350",1863,"Dubuque Comm School District",189,4826,3.92,73,2362,3.09,116,2464,4.71,2020
"1351",1908,"Dunkerton Comm School District",1,204,0.49,0,110,0,1,94,1.06,2020
"1352",1917,"Boyer Valley Comm School District",3,183,1.64,0,85,0,3,98,3.06,2020
"1353",1926,"Durant Comm School District",12,323,3.72,4,142,2.82,8,181,4.42,2020
"1354",1944,"Eagle Grove Comm School District",15,425,3.53,6,224,2.68,9,201,4.48,2020
"1355",1953,"Earlham Comm School District",1,297,0.34,1,130,0.77,0,167,0,2020
"1356",1963,"East Buchanan Comm School District",5,286,1.75,0,134,0,5,152,3.29,2020
"1357",1965,"Easton Valley Comm School District",3,213,1.41,1,98,1.02,2,115,1.74,2020
"1358",1968,"East Marshall Comm School District",4,385,1.04,0,191,0,4,194,2.06,2020
"1359",1970,"East Union Comm School District",1,254,0.39,0,115,0,1,139,0.72,2020
"1360",1972,"Eastern Allamakee Comm School District",1,155,0.65,0,65,0,1,90,1.11,2020
"1361",1975,"River Valley Comm School District",1,189,0.53,1,92,1.09,0,97,0,2020
"1362",1989,"Edgewood-Colesburg Comm School District",0,227,0,0,105,0,0,122,0,2020
"1363",2007,"Eldora-New Providence Comm School District",15,241,6.22,4,107,3.74,11,134,8.21,2020
"1364",2088,"Emmetsburg Comm School District",5,372,1.34,1,171,0.58,4,201,1.99,2020
"1365",2097,"English Valleys Comm School District",4,203,1.97,2,96,2.08,2,107,1.87,2020
"1366",2113,"Essex Comm School District",0,85,0,0,41,0,0,44,0,2020
