County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
78,13,3645,Lewis Central,2012,211,22,48,93,0,8,15,0,10,15
16,10,3691,North Cedar,2012,55,10,11,22,2,0,9,0,0,1
57,10,3715,Linn-Mar,2012,399,60,193,103,4,3,8,0,8,20
57,10,3744,Lisbon,2012,32,12,5,10,0,0,4,0,1,0
43,13,3798,Logan-Magnolia,2012,51,12,10,21,0,4,3,0,1,0
52,10,3816,Lone Tree,2012,41,5,11,21,1,0,3,0,0,0
58,9,3841,Louisa-Muscatine,2012,62,5,9,27,5,0,10,0,6,0
55,5,3897,LuVerne,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,11,3906,Lynnville-Sully,2012,41,4,7,22,0,1,4,0,1,2
8,11,3942,Madrid,2012,44,0,15,20,0,1,3,0,3,2
65,13,3978,East Mills,2012,55,8,8,22,0,1,12,0,4,0
13,5,4023,Manson Northwest Webster,2012,48,1,19,19,0,0,2,0,3,4
67,12,4033,Maple Valley-Anthon Oto,2012,54,7,12,25,0,5,4,0,1,0
49,9,4041,Maquoketa,2012,114,17,18,36,2,1,12,0,10,18
28,1,4043,Maquoketa Valley,2012,57,12,9,26,0,2,6,0,2,0
18,12,4068,Marcus-Meriden-Cleghorn,2012,52,5,17,23,1,0,5,0,0,1
57,10,4086,Marion Independent,2012,174,21,47,66,0,1,16,0,10,13
64,7,4104,Marshalltown,2012,334,18,57,140,0,0,20,0,7,92
91,11,4122,Martensdale-St Marys,2012,42,11,10,17,0,1,2,0,1,0
17,7,4131,Mason City,2012,253,14,60,112,3,8,22,0,7,27
84,12,4149,MOC-Floyd Valley,2012,102,38,23,24,0,1,7,0,2,7
29,15,4203,Mediapolis,2012,90,4,26,45,0,3,7,0,5,0
63,11,4212,Melcher-Dallas,2012,34,7,4,18,0,0,1,0,1,3
53,10,4269,Midland,2012,33,5,2,12,0,1,12,0,0,1
92,10,4271,Mid-Prairie,2012,71,10,22,20,0,1,12,0,3,3
43,13,4356,Missouri Valley,2012,66,11,16,27,0,2,6,0,2,2
22,1,4419,MFL MarMac,2012,57,8,14,26,1,1,2,0,2,3
